property_id, seating_type, industry_anzsic4_code, location_zip, clue_small_area, trading_name, x_coordinate, location_address, location_city, location_state, number_of_seats, ogc_fid, industry_anzsic4_description, y_coordinate, census_year, street_address, base_property_id, block_id
"101171","Seats - Indoor","4512",null,"Melbourne (CBD)","Shangri-La Kitchen","144.9553253",null,null,null,"16",23437,"Takeaway Food Services","-37.81622847","2010","612-620 Bourke Street","101171","51"
"103842","Seats - Outdoor","4511",null,"North Melbourne","Cafe Plum","144.9484238",null,null,null,"8",23466,"Cafes and Restaurants","-37.79508314","2010","193 Flemington Road","103842","353"
"108441","Seats - Outdoor","4511",null,"West Melbourne (Residential)","Cafe Al Sindh ","144.9524041",null,null,null,"8",23479,"Cafes and Restaurants","-37.80751845","2010","56 Rosslyn Street","108441","432"
"105484","Seats - Indoor","4511",null,"Melbourne (CBD)","Klik Cafe ","144.9604349",null,null,null,"70",23512,"Cafes and Restaurants","-37.81010387","2010","296-310 La Trobe Street","105484","94"
"560004","Seats - Outdoor","4511",null,"Docklands","Brot Bakery Cafe","144.942139",null,null,null,"8",23513,"Cafes and Restaurants","-37.81434525","2010","24-42 Newquay Promenade","560004","1109"
"108986","Seats - Outdoor","4511",null,"Melbourne (CBD)","European","144.9724291",null,null,null,"18",23516,"Cafes and Restaurants","-37.8109513","2010","161 Spring Street","108986","58"
"105913","Seats - Indoor","4511",null,"Melbourne (CBD)","Sakura Kaiten Sushi","144.9716953",null,null,null,"30",23518,"Cafes and Restaurants","-37.81309819","2010","57-67 Little Collins Street","105913","38"
"106083","Seats - Outdoor","4511",null,"Carlton","Kebab Factory","144.9659498",null,null,null,"6",23556,"Cafes and Restaurants","-37.80467681","2010","95-97 Lygon Street","106083","254"
"109392","Seats - Indoor","4520",null,"Melbourne (CBD)","Cookie","144.9652504",null,null,null,"200",23557,"Pubs, Taverns and Bars","-37.81199559","2010","248-258 Swanston Street","109392","66"
"106224","Seats - Outdoor","4511",null,"Carlton","Alpino Restaurant","144.9671843",null,null,null,"24",23560,"Cafes and Restaurants","-37.80103476","2010","262 Lygon Street","106224","247"
"111070","Seats - Indoor","4511",null,"Carlton","Lambs Restaurant","144.9666993",null,null,null,"85",23564,"Cafes and Restaurants","-37.80443778","2010","80 Queensberry Street","106250","252"
"103942","Seats - Outdoor","4511",null,"Melbourne (CBD)","Cafe Andiamo","144.9659028",null,null,null,"68",23565,"Cafes and Restaurants","-37.81706291","2010","253-265 Flinders Lane","103942","15"
"106244","Seats - Indoor","4511",null,"Carlton","Sabatini's Function Room","144.9667699",null,null,null,"150",23575,"Cafes and Restaurants","-37.80344164","2010","160-162 Lygon Street","106244","252"
"101208","Seats - Indoor","4511",null,"Melbourne (CBD)","Hungry Jack's","144.9677867",null,null,null,"130",23580,"Cafes and Restaurants","-37.81264684","2010","180-182 Bourke Street","101208","56"
"620312","Seats - Outdoor","4511",null,"Docklands","Kebabbque","144.9378299",null,null,null,"32",23602,"Cafes and Restaurants","-37.81315031","2010","23-37 Star Crescent","593737","1110"
"104657","Seats - Outdoor","4511",null,"Melbourne (CBD)","Aloi Na","144.9609698",null,null,null,"12",23615,"Cafes and Restaurants","-37.81338297","2010","59-61 Hardware Lane","104657","64"
"108989","Seats - Outdoor","4511",null,"Melbourne (CBD)","Cafe 201","144.9720594",null,null,null,"8",23618,"Cafes and Restaurants","-37.81012699","2010","199-207 Spring Street","108989","68"
"106123","Seats - Outdoor","4511",null,"Carlton","Enoteca Oggi ","144.96677",null,null,null,"14",23633,"Cafes and Restaurants","-37.79986755","2010","237 Lygon Street","106123","206"
"103394","Seats - Indoor","4511",null,"North Melbourne","The Hot Poppy","144.9489706",null,null,null,"16",23638,"Cafes and Restaurants","-37.80473152","2010","9 Errol Street","103394","345"
"108658","Seats - Indoor","4511",null,"Southbank","Gateway Deli Bistro","144.9707073",null,null,null,"100",23675,"Cafes and Restaurants","-37.82912559","2010","312-318 St Kilda Road","108658","748"
"105960","Seats - Outdoor","4512",null,"Melbourne (CBD)","Bag a Baguette","144.9640121",null,null,null,"36",23699,"Takeaway Food Services","-37.81488174","2010","318-322 Little Collins Street","105960","45"
"105919","Seats - Indoor","4512",null,"Melbourne (CBD)","Pushka Espresso","144.9656034",null,null,null,"13",23706,"Takeaway Food Services","-37.81483458","2010","267 Little Collins Street","105919","35"
"105388","Seats - Outdoor","4511",null,"Melbourne (CBD)","Kedai Satay","144.9556966",null,null,null,"22",23711,"Cafes and Restaurants","-37.8156735","2010","186 King Street","105388","52"
"106189","Seats - Outdoor","4511",null,"Carlton","Trotters Restaurant","144.9677565",null,null,null,"11",23754,"Cafes and Restaurants","-37.79763393","2010","398-400 Lygon Street","106189","217"
"110987","Seats - Outdoor","4512",null,"Carlton","Momo Sushi ","144.9642885",null,null,null,"6",23759,"Takeaway Food Services","-37.80099105","2010","660-674 Swanston Street","110987","245"
